shift,A,cluster,peaks,Hs
2.38212,60.0391,c1,3,2
2.38232,54.0008,c1,3,2
2.38252,48.3911,c1,3,2
2.38272,43.291,c1,3,2
2.38292,38.6861,c1,3,2
2.38311,34.5909,c1,3,2
2.38331,31.0227,c1,3,2
2.38351,27.9642,c1,3,2
2.38371,25.3111,c1,3,2
2.38391,23.075,c1,3,2
2.3841,21.1401,c1,3,2
2.3843,19.5295,c1,3,2
2.3845,18.2259,c1,3,2
2.3847,17.1539,c1,3,2
2.3849,16.2919,c1,3,2
2.3851,15.5688,c1,3,2
2.38529,14.9483,c1,3,2
2.38549,14.3974,c1,3,2
2.38569,13.9549,c1,3,2
2.38589,13.6515,c1,3,2
2.38609,13.4871,c1,3,2
2.38629,13.4617,c1,3,2
2.38648,13.5449,c1,3,2
2.38668,13.6976,c1,3,2
2.38688,13.8923,c1,3,2
2.38708,14.226,c1,3,2
2.38728,14.6711,c1,3,2
2.38747,15.2553,c1,3,2
2.38767,15.9698,c1,3,2
2.38787,16.8232,c1,3,2
2.38807,17.7462,c1,3,2
2.38827,18.8082,c1,3,2
2.38847,20.0149,c1,3,2
2.38866,21.3605,c1,3,2
2.38886,22.9205,c1,3,2
2.38906,24.7121,c1,3,2
2.38926,26.7818,c1,3,2
2.38946,29.1757,c1,3,2
2.38966,32.0041,c1,3,2
2.38985,35.3421,c1,3,2
2.39005,39.1999,c1,3,2
2.39025,43.5673,c1,3,2
2.39045,48.4734,c1,3,2
2.39065,53.8892,c1,3,2
2.39084,59.8609,c1,3,2
2.39104,66.435,c1,3,2
2.39124,73.5709,c1,3,2
2.39144,81.3091,c1,3,2
2.39164,89.5397,c1,3,2
2.39184,98.1874,c1,3,2
2.39203,107.188,c1,3,2
2.39223,116.514,c1,3,2
2.39243,126.114,c1,3,2
2.39263,135.946,c1,3,2
2.39283,146.03,c1,3,2
2.39303,156.253,c1,3,2
2.39322,166.511,c1,3,2
2.39342,176.769,c1,3,2
2.39362,186.815,c1,3,2
2.39382,196.537,c1,3,2
2.39402,205.706,c1,3,2
2.39421,213.994,c1,3,2
2.39441,221.015,c1,3,2
2.39461,226.506,c1,3,2
2.39481,230.164,c1,3,2
2.39501,231.83,c1,3,2
2.39521,231.435,c1,3,2
2.3954,229.047,c1,3,2
2.3956,224.779,c1,3,2
2.3958,218.798,c1,3,2
2.396,211.437,c1,3,2
2.3962,203.012,c1,3,2
2.3964,193.991,c1,3,2
2.39659,184.738,c1,3,2
2.39679,175.567,c1,3,2
2.39699,166.719,c1,3,2
2.39719,158.344,c1,3,2
2.39739,150.571,c1,3,2
2.39758,143.482,c1,3,2
2.39778,136.995,c1,3,2
2.39798,130.985,c1,3,2
2.39818,125.299,c1,3,2
2.39838,119.647,c1,3,2
2.39858,113.765,c1,3,2
2.39877,107.576,c1,3,2
2.39897,101.063,c1,3,2
2.39917,94.3263,c1,3,2
2.39937,87.5197,c1,3,2
2.39957,80.7434,c1,3,2
2.39976,74.1062,c1,3,2
2.39996,67.5833,c1,3,2
2.40016,61.2921,c1,3,2
2.40036,55.2963,c1,3,2
2.40056,49.7175,c1,3,2
2.40076,44.6541,c1,3,2
2.40095,40.1004,c1,3,2
2.40115,36.0921,c1,3,2
2.40135,32.5007,c1,3,2
2.40155,29.3089,c1,3,2
2.40175,26.5341,c1,3,2
2.40195,24.104,c1,3,2
2.40214,22.0908,c1,3,2
2.40234,20.4194,c1,3,2
2.40254,18.9796,c1,3,2
2.40274,17.7968,c1,3,2
2.40294,16.753,c1,3,2
2.40313,15.9235,c1,3,2
2.40333,15.233,c1,3,2
2.40353,14.751,c1,3,2
2.40373,14.408,c1,3,2
2.40393,14.1809,c1,3,2
2.40413,14.0927,c1,3,2
2.40432,14.049,c1,3,2
2.40452,14.1443,c1,3,2
2.40472,14.3395,c1,3,2
2.40492,14.6043,c1,3,2
2.40512,14.9573,c1,3,2
2.40532,15.3104,c1,3,2
2.40551,15.7199,c1,3,2
2.40571,16.2684,c1,3,2
2.40591,16.9327,c1,3,2
2.40611,17.8287,c1,3,2
2.40631,18.9274,c1,3,2
2.4065,20.2578,c1,3,2
2.4067,21.759,c1,3,2
2.4069,23.492,c1,3,2
2.4071,25.5318,c1,3,2
2.4073,27.9887,c1,3,2
2.4075,30.8943,c1,3,2
2.40769,34.3096,c1,3,2
2.40789,38.3156,c1,3,2
2.40809,43.0166,c1,3,2
2.40829,48.4821,c1,3,2
