shift,A,cluster,peaks,Hs,config
3.58391,12.5479,c5,6,2,beta F
3.58407,12.6824,c5,6,2,beta F
3.58424,12.8734,c5,6,2,beta F
3.58441,13.1474,c5,6,2,beta F
3.58458,13.489,c5,6,2,beta F
3.58474,13.9137,c5,6,2,beta F
3.58491,14.4306,c5,6,2,beta F
3.58508,15.0674,c5,6,2,beta F
3.58525,15.8253,c5,6,2,beta F
3.58542,16.7031,c5,6,2,beta F
3.58558,17.7135,c5,6,2,beta F
3.58575,18.8807,c5,6,2,beta F
3.58592,20.2304,c5,6,2,beta F
3.58609,21.7923,c5,6,2,beta F
3.58625,23.5906,c5,6,2,beta F
3.58642,25.6379,c5,6,2,beta F
3.58659,27.9545,c5,6,2,beta F
3.58676,30.5202,c5,6,2,beta F
3.58693,33.3349,c5,6,2,beta F
3.58709,36.3987,c5,6,2,beta F
3.58726,39.6581,c5,6,2,beta F
3.58743,43.019,c5,6,2,beta F
3.5876,46.3718,c5,6,2,beta F
3.58776,49.6047,c5,6,2,beta F
3.58793,52.5107,c5,6,2,beta F
3.5881,54.8724,c5,6,2,beta F
3.58827,56.4985,c5,6,2,beta F
3.58844,57.2482,c5,6,2,beta F
3.5886,57.0544,c5,6,2,beta F
3.58877,55.892,c5,6,2,beta F
3.58894,53.8221,c5,6,2,beta F
3.58911,50.9681,c5,6,2,beta F
3.58927,47.5191,c5,6,2,beta F
3.58944,43.7288,c5,6,2,beta F
3.58961,39.8197,c5,6,2,beta F
3.58978,35.9936,c5,6,2,beta F
3.58995,32.3529,c5,6,2,beta F
3.59011,28.9611,c5,6,2,beta F
3.59028,25.8785,c5,6,2,beta F
3.59045,23.1371,c5,6,2,beta F
3.59062,20.7278,c5,6,2,beta F
3.59078,18.6045,c5,6,2,beta F
3.59095,16.7302,c5,6,2,beta F
3.59112,15.0866,c5,6,2,beta F
3.59129,13.6722,c5,6,2,beta F
3.59145,12.433,c5,6,2,beta F
3.59162,11.3345,c5,6,2,beta F
3.59179,10.3559,c5,6,2,beta F
3.59196,9.49495,c5,6,2,beta F
3.59213,8.73545,c5,6,2,beta F
3.59229,8.07628,c5,6,2,beta F
3.59246,7.50013,c5,6,2,beta F
3.59263,7.00084,c5,6,2,beta F
3.5928,6.54767,c5,6,2,beta F
3.59296,6.14294,c5,6,2,beta F
3.59313,5.76588,c5,6,2,beta F
3.5933,5.41649,c5,6,2,beta F
3.59347,5.09478,c5,6,2,beta F
3.59364,4.79786,c5,6,2,beta F
3.5938,4.54706,c5,6,2,beta F
3.59397,4.31788,c5,6,2,beta F
3.59414,4.0887,c5,6,2,beta F
3.59431,3.89008,c5,6,2,beta F
3.59447,3.69146,c5,6,2,beta F
3.59464,3.54819,c5,6,2,beta F
3.59481,3.40492,c5,6,2,beta F
3.59498,3.26165,c5,6,2,beta F
3.59515,3.11837,c5,6,2,beta F
3.59531,2.99981,c5,6,2,beta F
3.59548,2.88125,c5,6,2,beta F
3.59565,2.76269,c5,6,2,beta F
3.59582,2.64413,c5,6,2,beta F
3.59598,2.56016,c5,6,2,beta F
3.59615,2.47619,c5,6,2,beta F
3.59632,2.39222,c5,6,2,beta F
3.59649,2.30825,c5,6,2,beta F
3.59666,2.2508,c5,6,2,beta F
3.59682,2.19336,c5,6,2,beta F
3.59699,2.13591,c5,6,2,beta F
3.59716,2.07846,c5,6,2,beta F
3.59733,2.02794,c5,6,2,beta F
3.59749,1.97741,c5,6,2,beta F
3.59766,1.92688,c5,6,2,beta F
3.59783,1.87635,c5,6,2,beta F
3.598,1.84366,c5,6,2,beta F
3.59817,1.81097,c5,6,2,beta F
3.59833,1.77827,c5,6,2,beta F
3.5985,1.74558,c5,6,2,beta F
3.59867,1.71808,c5,6,2,beta F
3.59884,1.69057,c5,6,2,beta F
3.599,1.66307,c5,6,2,beta F
3.59917,1.63557,c5,6,2,beta F
3.59934,1.62767,c5,6,2,beta F
3.59951,1.61977,c5,6,2,beta F
3.59968,1.58419,c5,6,2,beta F
3.59984,1.54862,c5,6,2,beta F
3.60001,1.53092,c5,6,2,beta F
3.60018,1.51321,c5,6,2,beta F
3.60035,1.52319,c5,6,2,beta F
3.60051,1.53316,c5,6,2,beta F
3.60068,1.53996,c5,6,2,beta F
3.60085,1.54676,c5,6,2,beta F
3.60102,1.50744,c5,6,2,beta F
3.60119,1.46812,c5,6,2,beta F
3.60135,1.46339,c5,6,2,beta F
3.60152,1.45866,c5,6,2,beta F
3.60169,1.45393,c5,6,2,beta F
3.60186,1.4492,c5,6,2,beta F
3.60202,1.4529,c5,6,2,beta F
3.60219,1.4566,c5,6,2,beta F
3.60236,1.46031,c5,6,2,beta F
3.60253,1.46401,c5,6,2,beta F
3.60269,1.46425,c5,6,2,beta F
3.60286,1.4645,c5,6,2,beta F
3.60303,1.46474,c5,6,2,beta F
3.6032,1.46498,c5,6,2,beta F
3.60337,1.48032,c5,6,2,beta F
3.60353,1.49567,c5,6,2,beta F
3.6037,1.51101,c5,6,2,beta F
3.60387,1.52635,c5,6,2,beta F
3.60404,1.53477,c5,6,2,beta F
3.6042,1.54319,c5,6,2,beta F
3.60437,1.55162,c5,6,2,beta F
3.60454,1.56004,c5,6,2,beta F
3.60471,1.57877,c5,6,2,beta F
3.60488,1.5975,c5,6,2,beta F
3.60504,1.61623,c5,6,2,beta F
3.60521,1.63496,c5,6,2,beta F
3.60538,1.66521,c5,6,2,beta F
3.60555,1.69548,c5,6,2,beta F
3.60571,1.72573,c5,6,2,beta F
3.60588,1.75599,c5,6,2,beta F
3.60605,1.81561,c5,6,2,beta F
3.60622,1.87523,c5,6,2,beta F
3.60639,1.93485,c5,6,2,beta F
3.60655,1.99447,c5,6,2,beta F
3.60672,2.03794,c5,6,2,beta F
3.60689,2.08142,c5,6,2,beta F
3.60706,2.12489,c5,6,2,beta F
3.60722,2.16837,c5,6,2,beta F
3.60739,2.23721,c5,6,2,beta F
3.60756,2.30606,c5,6,2,beta F
3.60773,2.37778,c5,6,2,beta F
3.6079,2.44951,c5,6,2,beta F
3.60806,2.55871,c5,6,2,beta F
3.60823,2.71404,c5,6,2,beta F
3.6084,2.88954,c5,6,2,beta F
3.60857,3.06504,c5,6,2,beta F
3.60873,3.24448,c5,6,2,beta F
3.6089,3.42391,c5,6,2,beta F
3.60907,3.6437,c5,6,2,beta F
3.60924,3.90961,c5,6,2,beta F
3.60941,4.1934,c5,6,2,beta F
3.60957,4.50486,c5,6,2,beta F
3.60974,4.86475,c5,6,2,beta F
3.60991,5.27077,c5,6,2,beta F
3.61008,5.73444,c5,6,2,beta F
3.61024,6.26268,c5,6,2,beta F
3.61041,6.87279,c5,6,2,beta F
3.61058,7.56593,c5,6,2,beta F
3.61075,8.32825,c5,6,2,beta F
3.61092,9.17359,c5,6,2,beta F
3.61108,10.0997,c5,6,2,beta F
3.61125,11.1272,c5,6,2,beta F
3.61142,12.241,c5,6,2,beta F
3.61159,13.4194,c5,6,2,beta F
3.61175,14.637,c5,6,2,beta F
3.61192,15.827,c5,6,2,beta F
3.61209,16.9431,c5,6,2,beta F
3.61226,17.884,c5,6,2,beta F
3.61243,18.5631,c5,6,2,beta F
3.61259,18.9378,c5,6,2,beta F
3.61276,18.981,c5,6,2,beta F
3.61293,18.6644,c5,6,2,beta F
3.6131,17.9927,c5,6,2,beta F
3.61326,17.035,c5,6,2,beta F
3.61343,15.8622,c5,6,2,beta F
3.6136,14.5696,c5,6,2,beta F
3.61377,13.2325,c5,6,2,beta F
3.61393,11.8954,c5,6,2,beta F
3.6141,10.6299,c5,6,2,beta F
3.61427,9.48421,c5,6,2,beta F
3.61444,8.46943,c5,6,2,beta F
3.61461,7.55613,c5,6,2,beta F
3.61477,6.75467,c5,6,2,beta F
3.61494,6.05469,c5,6,2,beta F
3.61511,5.44465,c5,6,2,beta F
3.61528,4.93608,c5,6,2,beta F
3.65269,4.87658,c7,11,5,all
3.65286,5.01456,c7,11,5,all
3.65302,5.19392,c7,11,5,all
3.65319,5.40094,c7,11,5,all
3.65336,5.64314,c7,11,5,all
3.65353,5.91301,c7,11,5,all
3.65369,6.21112,c7,11,5,all
3.65386,6.53692,c7,11,5,all
3.65403,6.90999,c7,11,5,all
3.6542,7.32918,c7,11,5,all
3.65437,7.80119,c7,11,5,all
3.65453,8.33778,c7,11,5,all
3.6547,8.95739,c7,11,5,all
3.65487,9.69691,c7,11,5,all
3.65504,10.5644,c7,11,5,all
3.6552,11.5703,c7,11,5,all
3.65537,12.7342,c7,11,5,all
3.65554,14.0918,c7,11,5,all
3.65571,15.6786,c7,11,5,all
3.65588,17.4959,c7,11,5,all
3.65604,19.5203,c7,11,5,all
3.65621,21.7384,c7,11,5,all
3.65638,24.0966,c7,11,5,all
